id,text,created_at,lang
1968384787028259284,@ZelenskyyUa @ZelenskaUA @AndriyYermak @DefenceU @CinC_AFU @TDF_UA @DI_Ukraine @ChiefDI_Ukraine @ServiceSsu @azov_media @196_MINATURE @kimyoungmiunnie @Iyo_SkyWWE @WWEAsuka @namgrah @nammonjoside @BABYMETAL_JAPAN @JpNakamoto @KAIRI_official @sacrifichor @0929_hazuki @n_poi07 @SOF_UKR @yoonisakkk @saya_h_a_t_e @daughterscorn @CutlassPrincess @StarLight_Kid11 @DefenceHQ @MinaShirakawa @giulia0221g @vonderleyen @Svyrydenko_Y @kajakallas @NATO @suzuki_1231su @UA_NAVY @ng_ukraine @KpsZSU @SESU_UA @armyinformcomua @jihoo_oo @jiho_hamkke @SEMIPLAYER380 @chocoyihyun @sooeunsu @jhiupark @KOMAKISDESHI @COBRAMOTHER @ofthevoyevoda Russia attack Poland from Belarus border ask 🇱🇹🇲🇩 Russia did them before you go ask them,2025-09-17 18:41:18+00:00,en
1968384744867197387,"@kajakallas It's mindless to treat Izrael in the same manner as terrorists. That's like Ukraine stop fighting, we want peace.
Will you stop sending money and aid to the terrorists too?",2025-09-17 18:41:08+00:00,en
1968384607675650213,"Zelensky Picks A Fight With POLAND As Russia Advances In KUPIANSK!

  Zelensky has stated that Poland is unprepared in the event of a large scale Russian attack. 
       He has made these accusations after the Polish Foreign Minister Radoslaw Sikorski has implied that Ukraine is https://t.co/68DtaIBGOc",2025-09-17 18:40:35+00:00,en
1968384484161814812,@ZelenskyyUa @ZelenskaUA @AndriyYermak @DefenceU @CinC_AFU @TDF_UA @DI_Ukraine @ChiefDI_Ukraine @ServiceSsu @azov_media @196_MINATURE @kimyoungmiunnie @Iyo_SkyWWE @WWEAsuka @namgrah @nammonjoside @BABYMETAL_JAPAN @JpNakamoto @KAIRI_official @sacrifichor @0929_hazuki @n_poi07 @SOF_UKR @yoonisakkk @saya_h_a_t_e @daughterscorn @CutlassPrincess @StarLight_Kid11 @DefenceHQ @MinaShirakawa @giulia0221g @vonderleyen @Svyrydenko_Y @kajakallas @NATO @suzuki_1231su @UA_NAVY @ng_ukraine @KpsZSU @SESU_UA @armyinformcomua @jihoo_oo @jiho_hamkke @SEMIPLAYER380 @chocoyihyun @sooeunsu @jhiupark @KOMAKISDESHI @COBRAMOTHER @ofthevoyevoda https://t.co/VXBRE39sib don't listen journalist bull shit we never attack Poland it was Russia from Belarus border Iran drones strikes listen to us intelligence side 🇺🇦 Russia attack Poland Russia attack Poland Russia attack Poland Russia attack Poland  Russia attack Poland,2025-09-17 18:40:06+00:00,en
1968384294512128102,@mapleblooded I didn't realize there was peace in Ukraine.  There is no restructuring no rebuilding until the war ends!,2025-09-17 18:39:21+00:00,en
1968384270059372803,"Ukraine to acquire US weapons through $3.5 billion fund , more details : https://t.co/SYavuX6lCT
Well that should contribute to peace negotiations. 
Feed that Military Corporate Industrial Complex Trumpster boy .
@KimIversenShow @reallygraceful @RealCandaceO",2025-09-17 18:39:15+00:00,en
1968384157303861488,"@GenericJes @ChanceWmsToday @NOELreports Two weeks later they were sitting at the negotiations table working out a nearly finished deal where Ukraine kept all their territory (except Crimea). Then the west interfered. Promising Ukraine all kinds of nice goodies. So from that moment on, Zelenski choose to fight that war.",2025-09-17 18:38:48+00:00,en
1968384110340292943,"It’s like our country is under attack, possibly by a lone gunman sitting in jail…or  combined forces still at large. And, our Prez is on another continent, entertained by the Royals?? Celebrating what; the loss of freedom in Britain…Ukraine$$$Or Globalist plot to destroy USA??",2025-09-17 18:38:37+00:00,en
1968384033899090326,"Hi Fellas! Please stay on task and do not get pulled into infighting and drama! Visibility is bad enough. We don’t need to attack each other. 

I know many of us are frustrated, but take a moment, breathe, and refocus on Ukraine! https://t.co/rvphdfJANZ",2025-09-17 18:38:19+00:00,en
1968383895566757978,"@latimes Where is the global outrage at Russia for invading Ukraine, killing hundreds of thousands of civilians?
Where is the global outage at China for imprisoning a million Uyghurs in Concentration Camps, harvesting their organs?.
Where is the outrage for Hamas Oct 7 attack on Isreal? https://t.co/vFwpDfrmpd",2025-09-17 18:37:46+00:00,en
